Ret.Time	Absolute Intensity	Relative Intensity
4.683	31944	0.70
4.687	31451	0.69
4.690	31113	0.69
4.693	30903	0.68
4.697	30762	0.68
4.700	30900	0.68
4.703	31092	0.69
4.707	30984	0.68
4.710	31025	0.68
4.713	31195	0.69
4.717	31046	0.68
4.720	31074	0.68
4.723	31540	0.70
4.727	31954	0.70
4.730	32207	0.71
4.733	33610	0.74
4.737	36188	0.80
4.740	38955	0.86
4.743	42830	0.94
4.747	45609	1.01
4.750	45640	1.01
4.753	44885	0.99
4.757	42757	0.94
4.760	40183	0.89
4.763	38735	0.85
4.767	36749	0.81
4.770	35415	0.78
4.773	33645	0.74
4.777	32456	0.72
4.780	32071	0.71
4.783	32108	0.71
4.787	32471	0.72
4.790	32734	0.72
4.793	32525	0.72
4.797	32292	0.71
4.800	31663	0.70
4.803	31037	0.68
4.807	30875	0.68
4.810	30513	0.67
4.813	30417	0.67
4.817	30452	0.67
4.820	30402	0.67
4.823	30356	0.67
4.827	30362	0.67
4.830	30396	0.67
4.833	31329	0.69
4.837	32339	0.71
4.840	32216	0.71
4.843	31866	0.70
